Name,Designer,ID,URL,Free
Sweater 'Amelie',Tetiana Skobalo,1048191,https://www.ravelry.com/patterns/library/sweater-amelie,False
Sweater with Striped Bodice,Watmoughs Knitting Studio,1102799,https://www.ravelry.com/patterns/library/sweater-with-striped-bodice,False
Sweater Colores,Mel Garcia Tello,1053399,https://www.ravelry.com/patterns/library/sweater-colores,False
Sweater with V Neck,Watmoughs Knitting Studio,1106964,https://www.ravelry.com/patterns/library/sweater-with-v-neck-2,False
Sweater with Cable Panel,Watmoughs Knitting Studio,1107118,https://www.ravelry.com/patterns/library/sweater-with-cable-panel-2,False
Sweater Rosario,Ana F. Laguna,1056577,https://www.ravelry.com/patterns/library/sweater-rosario,False
Sweater Maria,Santal Crochet,1101057,https://www.ravelry.com/patterns/library/sweater-maria,False
Sweater Pukem,Laura Marcos,1092626,https://www.ravelry.com/patterns/library/sweater-pukem,False
Sweater KOLINA,Kristin Joél,1120904,https://www.ravelry.com/patterns/library/sweater-kolina,False
Sweater with Polo Collar,Watmoughs Knitting Studio,1106926,https://www.ravelry.com/patterns/library/sweater-with-polo-collar-2,False
Sweater in Rib,Watmoughs Knitting Studio,1107108,https://www.ravelry.com/patterns/library/sweater-in-rib,False
Sweater,Lyric (Pattern Services) Ltd,1062961,https://www.ravelry.com/patterns/library/sweater-207,False
Sweater Fácil Nature,Roxy para Zurda Crochet,1120089,https://www.ravelry.com/patterns/library/sweater-facil-nature,False
Sweater with Pattern Panels,Watmoughs Knitting Studio,1128688,https://www.ravelry.com/patterns/library/sweater-with-pattern-panels,False
Sweater Bowie,Larita Quientejuna,1129745,https://www.ravelry.com/patterns/library/sweater-bowie,False
Sweater with Bobbles,Nadja Sulatycki,1129976,https://www.ravelry.com/patterns/library/sweater-with-bobbles,False
Sweater,Watmoughs Knitting Studio,1124555,https://www.ravelry.com/patterns/library/sweater-222,False
Sweater with Baubles,Nortex Mills Design Studio,1131075,https://www.ravelry.com/patterns/library/sweater-with-baubles,False
Sweater with V Neck,Watmoughs Knitting Studio,1125045,https://www.ravelry.com/patterns/library/sweater-with-v-neck-5,False
Sweater with Polo Collar,Watmoughs Knitting Studio,1125052,https://www.ravelry.com/patterns/library/sweater-with-polo-collar-3,False
Sweater in Simple Ridge Pattern RH 53,Red Heart Design Team,1132328,https://www.ravelry.com/patterns/library/sweater-in-simple-ridge-pattern-rh-53,False
Sweater with fitted sleeves,Ruth Greeven Design,1133049,https://www.ravelry.com/patterns/library/sweater-with-fitted-sleeves,False
Sweater Agustina (Oversize),Nathalie Morales,1135877,https://www.ravelry.com/patterns/library/sweater-agustina-oversize,True
Sweater de Bebé Tina,Roxy para Zurda Crochet,1112611,https://www.ravelry.com/patterns/library/sweater-de-bebe-tina,False
Sweater Jacaranda,Lizzie Cairo,1131184,https://www.ravelry.com/patterns/library/sweater-jacaranda,False
Sweater with Cables and Striped Ribbing,Watmoughs Knitting Studio,1131331,https://www.ravelry.com/patterns/library/sweater-with-cables-and-striped-ribbing,False
Sweater Básico Fácil Valen,Roxy para Zurda Crochet,1080720,https://www.ravelry.com/patterns/library/sweater-basico-facil-valen,False
Sweater Copo de Nieve,Leticia García de LG Crochet,1134922,https://www.ravelry.com/patterns/library/sweater-copo-de-nieve,False
Sweater Sally,HerbePlusVerte,1125480,https://www.ravelry.com/patterns/library/sweater-sally,False
Sweater Narciso,Roxy para Zurda Crochet,1126999,https://www.ravelry.com/patterns/library/sweater-narciso,False
Sweater Guillermina,Las Varetas Crochet,1136434,https://www.ravelry.com/patterns/library/sweater-guillermina,False
sweater Athos,andrea amaro,1142398,https://www.ravelry.com/patterns/library/sweater-athos,False
Sweater with U-Boat Collar,Ruth Greeven,1133040,https://www.ravelry.com/patterns/library/sweater-with-u-boat-collar,False
Sweater,Lyric (Pattern Services) Ltd,1092109,https://www.ravelry.com/patterns/library/sweater-216,False
Sweater with Cable Yoke,Watmoughs Knitting Studio,1128673,https://www.ravelry.com/patterns/library/sweater-with-cable-yoke,False
Sweater Femgangen,Aud Bergquist,1151659,https://www.ravelry.com/patterns/library/sweater-femgangen,False
sweater pumpkin,Victoria Khutorovskaya,1152653,https://www.ravelry.com/patterns/library/sweater-pumpkin-2,False
Sweater Corazon,Isabel de la Barra,1142406,https://www.ravelry.com/patterns/library/sweater-corazon-2,False
Sweater with Striped Sleeves,Watmoughs Knitting Studio,1102812,https://www.ravelry.com/patterns/library/sweater-with-striped-sleeves,False
Sweater Alma,andrea amaro,1163982,https://www.ravelry.com/patterns/library/sweater-alma,False
Sweater & Dress,Emu Wools Ltd,1164087,https://www.ravelry.com/patterns/library/sweater--dress,False
Sweater in copper with separate roll collar,Sabrina/Sandra team designers,1162740,https://www.ravelry.com/patterns/library/sweater-in-copper-with-separate-roll-collar,False
Sweater & Diaper Cover Set,Catherine Anfield,1144818,https://www.ravelry.com/patterns/library/sweater--diaper-cover-set-2,False
Sweater with Deep Rib,Sarah Dallas,1156311,https://www.ravelry.com/patterns/library/sweater-with-deep-rib,False
Sweater Popurrí,Claudia Pacheco Iza,1156451,https://www.ravelry.com/patterns/library/sweater-popurri,False
Sweater Cascada,Claudia Pacheco Iza,1156500,https://www.ravelry.com/patterns/library/sweater-cascada,False
Sweater,Sirdar,1156577,https://www.ravelry.com/patterns/library/sweater-230,False
Sweater Rimü,Natacha Espinoza,1157102,https://www.ravelry.com/patterns/library/sweater-rimu,False
Sweater,Patons & Baldwins,1160956,https://www.ravelry.com/patterns/library/sweater-232,False
Sweater Vera,Las Varetas Crochet,1162125,https://www.ravelry.com/patterns/library/sweater-vera,False
Sweater for all seasons,Roxi crochet,1162230,https://www.ravelry.com/patterns/library/sweater-for-all-seasons-2,True
Sweater Alamo,Larita Quientejuna,1165719,https://www.ravelry.com/patterns/library/sweater-alamo,False
