Name,Designer,ID,URL,Free,Photo
Practically,Kelly Herdrich,269721,https://www.ravelry.com/patterns/library/practically,False,https://images4-a.ravelrycache.com/uploads/merieb/112288244/prac_05_medium2.jpg
51-6 V-neck cardigan,DROPS design,270630,https://www.ravelry.com/patterns/library/51-6-v-neck-cardigan,True,https://images4-a.ravelrycache.com/uploads/tommeknits/76400021/6-2_medium2.jpg
Arrowhead Lace Cardigan,Susanne Sommer,270711,https://www.ravelry.com/patterns/library/arrowhead-lace-cardigan-3,True,https://images4-a.ravelrycache.com/uploads/sosu/181024926/ArrowheadLaceCardigan_NEW_1_medium2.jpg
BHKC 20,UK Hand Knitting Association,272620,https://www.ravelry.com/patterns/library/bhkc-20,False,https://images4-a.ravelrycache.com/uploads/sofiecat/78346487/P1280625_3__800_x_603__medium2.jpg
Wave Cardigan,Toshiyuki Shimada (嶋田俊之) and Grace Williamson,274594,https://www.ravelry.com/patterns/library/wave-cardigan,False,https://images4-a.ravelrycache.com/uploads/JamiesonandSmith/972459843/DSC_1975_medium2.JPG
No 1 -  ROBIN - Icelandic Knitted Sweater,Lina Olofsson,276425,https://www.ravelry.com/patterns/library/no-1---robin---icelandic-knitted-sweater,False,https://images4-a.ravelrycache.com/uploads/Islina/73606203/Cover_picture_medium2.JPG
Vivido Cardigan,Carol Feller,277852,https://www.ravelry.com/patterns/library/vivido-cardigan,False,https://images4-g.ravelrycache.com/flickr/6/3/0/6308977809/6308977809.jpg
Tri-Cable Stitch Jumper,Susan Crawford,278610,https://www.ravelry.com/patterns/library/tri-cable-stitch-jumper,False,https://images4-a.ravelrycache.com/uploads/justcallmeruby/338887451/TriCableJumper01_medium2.jpg
Cozy Kiddo Cardigan,Ashley Lillis,280242,https://www.ravelry.com/patterns/library/cozy-kiddo-cardigan,True,https://images4-a.ravelrycache.com/uploads/ACraftyHouse/80924645/DSC_0390_scale_medium2.JPG
Water and Stone,Veera Välimäki,282307,https://www.ravelry.com/patterns/library/water-and-stone,False,https://images4-a.ravelrycache.com/uploads/veera/81920635/water-and-stone-1_medium2.jpg
Yikes Stripes!,Yarn-Madness,282813,https://www.ravelry.com/patterns/library/yikes-stripes,True,https://images4-a.ravelrycache.com/uploads/HedvigHandarbetar/92767042/IMG_3238_medium2.JPG
Tadpole's Purple Sweater,Tinks and Frogs Rue,283755,https://www.ravelry.com/patterns/library/tadpoles-purple-sweater,True,https://images4-a.ravelrycache.com/uploads/Rue/82788905/DSC_0003_medium2.jpg
s22-16 Illy,DROPS design,284297,https://www.ravelry.com/patterns/library/s22-16-illy,True,https://images4-a.ravelrycache.com/uploads/Drops/1056570792/16-3_medium2.jpg
B21-11 Checco's Dream,DROPS design,285195,https://www.ravelry.com/patterns/library/b21-11-checcos-dream,True,https://images4-a.ravelrycache.com/uploads/Drops/83517326/11-2_medium2.jpg
B21-39 Grey Gosling,DROPS design,285288,https://www.ravelry.com/patterns/library/b21-39-grey-gosling,True,https://images4-a.ravelrycache.com/uploads/Drops/83545787/39-2_medium2.jpg
Kiddy Vertebrae,Kelly van Niekerk,287901,https://www.ravelry.com/patterns/library/kiddy-vertebrae,False,https://images4-f.ravelrycache.com/flickr/1/4/4/14415602904/14415602904.jpg
Miriam Cardi,Carrie Bostick Hoge,287934,https://www.ravelry.com/patterns/library/miriam-cardi,False,https://images4-a.ravelrycache.com/uploads/Rian72/907445956/6F120B08-6142-4051-A130-023799C29F02_medium2.jpeg
Fuse,Veronik Avery,290425,https://www.ravelry.com/patterns/library/fuse,False,https://images4-a.ravelrycache.com/uploads/EraLunaris/87226155/Fuse6_medium2.jpg
Nanook,Heidi Kirrmaier,292836,https://www.ravelry.com/patterns/library/nanook,False,https://images4-g.ravelrycache.com/flickr/6/6/9/6696716441/6696716441.jpg
Five Pound Baby Cardigan,Carole Barenys,295647,https://www.ravelry.com/patterns/library/five-pound-baby-cardigan,True,https://images4-a.ravelrycache.com/uploads/CaroleBarenys/94587209/5385289620103_medium2.jpg
wee Austin Hoodie,Connie Chang Chinchio,298339,https://www.ravelry.com/patterns/library/wee-austin-hoodie,False,https://images4-g.ravelrycache.com/flickr/6/8/0/6802612851/6802612851.jpg
Drapey Cardigan,Lion Brand Yarn,300376,https://www.ravelry.com/patterns/library/drapey-cardigan,True,https://images4-a.ravelrycache.com/uploads/mckenzif/196531615/l10572a_medium2.png
Pomme de pin Cardigan,Amy Christoffers,300445,https://www.ravelry.com/patterns/library/pomme-de-pin-cardigan,False,https://images4-a.ravelrycache.com/uploads/savoryknitting/93207622/IMG_8601_medium2.jpg
Taiga,Svetlana Volkova,301989,https://www.ravelry.com/patterns/library/taiga-4,False,https://images4-a.ravelrycache.com/uploads/tweedysheep/91958365/primavera_017__683x1024__medium2.jpg
Denise or Denephew?,Ned Renfield,303614,https://www.ravelry.com/patterns/library/denise-or-denephew,True,https://images4-a.ravelrycache.com/uploads/heronblue/95321610/document_upload29910-7_medium2.jpg
The Perfect Fit Seamless Crazy Lace Cardigan,Myra Wood,304986,https://www.ravelry.com/patterns/library/the-perfect-fit-seamless-crazy-lace-cardigan,False,https://images4-f.ravelrycache.com/flickr/6/9/5/6957384651/6957384651.jpg
Arches Baby Cardigan,Diane Zangl,305144,https://www.ravelry.com/patterns/library/arches-baby-cardigan,True,https://images4-a.ravelrycache.com/uploads/CascadeYarns/329922804/W292g_medium2.jpg
My Honey,Elena Nodel,306546,https://www.ravelry.com/patterns/library/my-honey,False,https://images4-a.ravelrycache.com/uploads/Anadiomena/99615259/IMG_0077_medium2.jpg
Strawberry Pink Sideways Cardigan and Hat,Lion Brand Yarn,308989,https://www.ravelry.com/patterns/library/strawberry-pink-sideways-cardigan-and-hat,True,https://images4-a.ravelrycache.com/uploads/mckenzif/175340862/l0043a_medium2.jpg
Newborn Top Down Cardigan,Ann Lim,309227,https://www.ravelry.com/patterns/library/newborn-top-down-cardigan-2,True,https://images4-a.ravelrycache.com/uploads/1morerow/98056383/Baby_s_Cardigan_medium2.jpg
Netherton Cardigan,Lydia Gluck,312956,https://www.ravelry.com/patterns/library/netherton-cardigan,False,https://images4-a.ravelrycache.com/uploads/sophierachael/445830441/Netherton-Cardigan-by-Lydia-Gluck.-Pom-Pom-Quarterly-Issue-1-Reprint-Summer-2017_medium2.png
Cinnie,Bonne Marie Burns,313117,https://www.ravelry.com/patterns/library/cinnie,False,https://images4-a.ravelrycache.com/uploads/chicknits/107733163/Cinnie-0327_medium2.jpg
Baby Set #L10451,Lion Brand Yarn,313964,https://www.ravelry.com/patterns/library/baby-set-l10451,True,https://images4-a.ravelrycache.com/uploads/Classy76/100696511/l10451a_medium2.jpg
Spring Showers,Joji Locatelli,314696,https://www.ravelry.com/patterns/library/spring-showers-3,False,https://images4-a.ravelrycache.com/uploads/jojilocat/101098148/Resize_of_DSC03433_medium2.JPG
Rocio,Joji Locatelli,314707,https://www.ravelry.com/patterns/library/rocio-2,False,https://images4-a.ravelrycache.com/uploads/jojilocat/101097958/Resize_of_DSC03164_medium2.JPG
F207 Top Down Baby Sweater,JoAnne Turcotte,315926,https://www.ravelry.com/patterns/library/f207-top-down-baby-sweater,True,https://images4-a.ravelrycache.com/uploads/mintyrae/43103258/000024_medium2.jpg
Little Oak,Alana Dakos,317254,https://www.ravelry.com/patterns/library/little-oak,False,https://images4-a.ravelrycache.com/uploads/nevernotknitting/102564281/Little_Oak_Cover_medium2.jpg
Tiny Rocky Coast,Hannah Fettig,317259,https://www.ravelry.com/patterns/library/tiny-rocky-coast,False,https://images4-a.ravelrycache.com/uploads/hannahfettig/102566555/Tiny_Rocky_Coast_medium2.jpg
Raiun,Kirsten Johnstone,317334,https://www.ravelry.com/patterns/library/raiun,False,https://images4-a.ravelrycache.com/uploads/assemblage/104446249/4_medium2.jpg
UKHKA 6,UK Hand Knitting Association,317351,https://www.ravelry.com/patterns/library/ukhka-6,False,https://images4-a.ravelrycache.com/uploads/helendillon/107402448/knitting_019_medium2.jpg
Shift of Focus,Veera Välimäki,317584,https://www.ravelry.com/patterns/library/shift-of-focus,False,https://images4-a.ravelrycache.com/uploads/veera/102767447/shift-of-focus-1_medium2.jpg
Bláithín,Kate Davies Designs,317699,https://www.ravelry.com/patterns/library/blaithin,False,https://images4-f.ravelrycache.com/flickr/6/9/9/6990726188/6990726188.jpg
Burnstown Cardigan,Ned Renfield,318486,https://www.ravelry.com/patterns/library/burnstown-cardigan,True,https://images4-a.ravelrycache.com/uploads/heronblue/103246839/burnstown3_medium2.jpg
